Atom,A,B,Value,Uncertainty,Method,Year,Citation,Notes
Ca+,4p+,3d-,1.092,0.002,Expt,2015,"M. Hettrich, T. Ruster, H. Kaufmann, C. F. Roos, C. T. Schmiegelow, F. Schmidt-Kaler, and U. G. Poschinger, Phys. Rev. Lett. 115, 143003 (2015); M. Ramm, T. Pruttivarasin, M. Kokish, I. Talukdar, and H. Häffner, Phys. Rev. Lett. 111, 023004 (2013) + udel",
Ca+,4p+,3d+,3.283,0.006,Expt,2015,"M. Hettrich, T. Ruster, H. Kaufmann, C. F. Roos, C. T. Schmiegelow, F. Schmidt-Kaler, and U. G. Poschinger, Phys. Rev. Lett. 115, 143003 (2015); M. Ramm, T. Pruttivarasin, M. Kokish, I. Talukdar, and H. Häffner, Phys. Rev. Lett. 111, 023004 (2013) + udel",
Ca+,4p+,4s,4.099,0.018,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 012503 (2011).",
Ca+,4p+,5s,2.965,0.014,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 012503 (2011).",
Ca+,4p+,3d-,1.100,0.006,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 012503 (2011).",
Ca+,4p+,3d+,3.306,0.018,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 012503 (2011).",
Ca+,4p+,4s,4.03,0.01,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009).",
Ca+,4p+,3d-,1.09,0.01,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009).",
Ca+,4p+,3d+,3.22,0.04,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009).",
Ca+,4p+,4s,4.09,0.02,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).","*** These are IDENTICAL to Safronova, by just truncating the value at 2 d.p.???"
Ca+,4p+,5s,2.96,0.01,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).","*** These are IDENTICAL to Safronova, by just truncating the value at 2 d.p.???"
Ca+,4p+,3d-,1.100,0.006,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).","*** These are IDENTICAL to Safronova, by just truncating the value at 2 d.p.???"
Ca+,4p+,3d+,3.30,0.02,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).","*** These are IDENTICAL to Safronova, by just truncating the value at 2 d.p.???"
Ca+,4p+,4s,4.120,0.001,CCSDpT,2016," J. Kaur, D. K. Nandy, B. Arora, and B. K. Sahoo, Phys. Rev. A 91, 012705 (2015).",
Cs,6p-,6s,4.494,,CPM,1989,"V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,6p-,7s,4.253,,CPM,1989,"V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,6p-,6s,4.535,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,6p-,7s,4.243,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,6p-,6s,4.4970,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,6p-,7s,4.2550,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,6p-,5d-,7.011,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,6p-,6s,4.498,,PTSCI,2002,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. D 66, 076013 (2002).",
Cs,6p-,7s,4.249,,PTSCI,2002,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. D 66, 076013 (2002).",
Cs,6p-,6s,4.54432,,CCSD,2007,"R. Pal, M. S. Safronova, W. R. Johnson, A. Derevianko, and S. G. Porsev, Phys. Rev. A 75, 042515 (2007).",
Cs,6p-,6s,4.5093,,CCSDvT+QED+Breit,2010,"S. G. Porsev, K. Beloy, and A. Derevianko, Phys. Rev. D 82, 036008 (2010).",
Cs,6p-,7s,4.2450,,CCSDvT+QED+Breit,2010,"S. G. Porsev, K. Beloy, and A. Derevianko, Phys. Rev. D 82, 036008 (2010).",
Cs,6p-,6s,4.5350,0.0768,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
